* These two reactions were added to the model
METt2rpp	1.0 met_L_p + 1.0 h_p <==> 1.0 met_L_c + 1.0 h_c	(rxn manually added to the model)	
GLNt2rpp	1.0 gln_L_p + 1.0 h_p <==> 1.0 gln_L_c + 1.0 h_c	(rxn manually added to the model)	

3OAR160	1.0 3opalmACP_c + 1.0 nadph_c + 1.0 h_c <==> 1.0 nadp_c + 1.0 3hpalmACP_c	b1093
3OAR161	1.0 3ocpalm9eACP_c + 1.0 nadph_c + 1.0 h_c --> 1.0 nadp_c + 1.0 3hcpalm9eACP_c	b1093
3OAR180	1.0 h_c + 1.0 3ooctdACP_c + 1.0 nadph_c <==> 1.0 3hoctaACP_c + 1.0 nadp_c	b1093
3OAR181	1.0 h_c + 1.0 3ocvac11eACP_c + 1.0 nadph_c --> 1.0 3hcvac11eACP_c + 1.0 nadp_c	b1093
3OAR40	1.0 actACP_c + 1.0 nadph_c + 1.0 h_c <==> 1.0 3haACP_c + 1.0 nadp_c	b1093
3OAR60	1.0 h_c + 1.0 3ohexACP_c + 1.0 nadph_c <==> 1.0 nadp_c + 1.0 3hhexACP_c	b1093
3OAR80	1.0 3ooctACP_c + 1.0 nadph_c + 1.0 h_c <==> 1.0 nadp_c + 1.0 3hoctACP_c	b1093
3OAS100	1.0 h_c + 1.0 ocACP_c + 1.0 malACP_c --> 1.0 3odecACP_c + 1.0 ACP_c + 1.0 co2_c	(b2323 or b1095)
3OAS120	1.0 dcaACP_c + 1.0 malACP_c + 1.0 h_c --> 1.0 3oddecACP_c + 1.0 ACP_c + 1.0 co2_c	(b1095 or b2323)
3OAS121	1.0 cdec3eACP_c + 1.0 malACP_c + 1.0 h_c --> 1.0 3ocddec5eACP_c + 1.0 ACP_c + 1.0 co2_c	b2323
3OAS140	1.0 h_c + 1.0 ddcaACP_c + 1.0 malACP_c --> 1.0 co2_c + 1.0 3omrsACP_c + 1.0 ACP_c	(b2323 or b1095)
3OAS141	1.0 h_c + 1.0 cddec5eACP_c + 1.0 malACP_c --> 1.0 3ocmrs7eACP_c + 1.0 ACP_c + 1.0 co2_c	b2323
3OAS160	1.0 myrsACP_c + 1.0 h_c + 1.0 malACP_c --> 1.0 3opalmACP_c + 1.0 ACP_c + 1.0 co2_c	(b2323 or b1095)
